step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
11,siim_000028,1.1027095317840576,1.033115029335022,0.695945143699646,0.4900153577327728,0.5194940567016602,0.5013735294342041,0.005882924888283014,0,0,-0.03994385525584221,0.07801587879657745,0.00549516873434186,0.02353425696492195,0,0,0.55133056640625,1.0,0.16016411761602617,0,0,90,90,6754.041
12,siim_000007,1.103266716003418,1.0342793464660645,0.6898735761642456,0.48459213972091675,0.5191373825073242,0.498312771320343,0.00691327266395092,0,0,-0.06165089085698128,0.07658694684505463,-0.006749902386218309,0.027656802907586098,0,0,0.3930816650390625,1.0,0.15991215887673135,0,0,90,90,6769.341
13,siim_000030,1.0836812257766724,1.0165330171585083,0.6714820861816406,0.47111713886260986,0.5186073780059814,0.4888073205947876,0.008511700667440891,0,0,-0.11566022038459778,0.07446401566267014,-0.04479067772626877,0.03407006710767746,0,0,0.1091461181640625,1.0,0.17087276645155602,0,0,90,90,6873.944
14,siim_000008,1.0915440320968628,1.0280663967132568,0.6347765922546387,0.44914233684539795,0.5173670053482056,0.46985307335853577,0.009880393743515015,0,0,-0.20413653552532196,0.06949590146541595,-0.12077760696411133,0.039653342217206955,0,0,0.0139923095703125,1.0,0.21893565451173946,0,0,90,90,6719.21
15,siim_000033,1.059152603149414,1.0080360174179077,0.511165976524353,0.3170156478881836,0.516711413860321,0.39850711822509766,0.02694263868033886,0,0,-0.7675208449363708,0.06687053292989731,-0.41286787390708923,0.1118672713637352,0,0,0.003139495849609375,1.0,0.3645298564322757,0,0,90,90,6849.784
16,siim_000010,1.0205672979354858,1.001938819885254,0.1862843930721283,0.06255075335502625,0.5146149396896362,0.1661527454853058,0.07395148277282715,0,0,-2.707184314727783,0.05847631394863129,-1.6798975467681885,0.4478120505809784,0,0,0.00016021728515625,1.0,0.34858551445040337,0,0,90,90,6974.817
17,siim_000037,1.0107439756393433,1.0081135034561157,0.02630418911576271,7.12359105818905e-05,0.5066814422607422,0.014330819249153137,0.04851878434419632,0,0,-9.549442291259766,0.02672727033495903,-6.100728511810303,1.5663048028945923,0,0,1.1444091796875e-05,1.0,0.07265471206006044,0,0,90,90,6914.253
18,siim_000011,0.9978693127632141,0.9976916909217834,0.001776155550032854,1.9303898073282246e-16,0.4853062033653259,0.001640677684918046,0.01506384089589119,0,0,-36.18363952636719,-0.05879208818078041,-22.948062896728516,6.553058624267578,0,0,0.0,0.0,0.05343063029191391,0,0,90,90,6774.362
19,siim_000041,1.3940315246582031,1.3501698970794678,0.4386165142059326,0.0,0.44197332859039307,0.0001733439275994897,0.004600537940859795,0,0,-98.67610168457031,-0.23315714299678802,-60.99208068847656,18.939647674560547,0,0,0.0,0.0,0.4594251799951465,0,0,90,90,40876.72
20,siim_000012,0.9394320249557495,0.9394255876541138,6.428190681617707e-05,0.0,0.39569592475891113,5.916018926654942e-05,0.0029175279196351767,0,0,-190.84439086914062,-0.4234314262866974,-118.06067657470703,38.287471771240234,0,0,0.0,0.0,1.2988640977806445,0,0,90,90,14689.2
